brd	smi	cid	dataset
BRD-K61535492	CC(C)C#Cc1cnc2O[C@H](CN(C)Cc3cncnc3)[C@H](C)CN([C@H](C)CO)C(=O)c2c1	CID:54618809	phase I
BRD-K44436874	C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2cccc(c2)C(=O)O)Oc3cc(ccc3S1(=O)=O)C4=CCCCC4	CID:54618810	phase I
BRD-K15849229	CC(C)C#Cc1cnc2O[C@H](CN(C)C(=O)c3cccnc3)[C@@H](C)CN([C@@H](C)CO)C(=O)c2c1	CID:54618811	phase I
BRD-K37929770	COc1ccc(NC(=O)N(C)C[C@@H]2Oc3cc(C#CCC(C)C)ccc3S(=O)(=O)N(C[C@@H]2C)[C@@H](C)CO)cc1	CID:54618812	phase I
BRD-K34102596	C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)c2cccnc2)Oc3cc(C#CC4(O)CCCC4)ccc3S1(=O)=O	CID:54618813	phase I
BRD-K85301720	C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)S(=O)(=O)c2ccc(F)cc2)Oc3ncc(cc3C1=O)c4ccncc4	CID:54618814	phase I
BRD-K80866161	C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccccc2)Oc3cc(/C=C/c4ccccc4)ccc3S1(=O)=O	CID:54618815	phase I
BRD-K12263461	CNC[C@@H]1Oc2ncc(C#Cc3cccc(OC)c3)cc2C(=O)N(C[C@@H]1C)[C@@H](C)CO	CID:54618816	phase I
BRD-K98970645	C[C@H](O)C#Cc1ccc2c(O[C@H](CN(C)Cc3ccc(cc3)c4ccccc4)[C@H](C)CN([C@H](C)CO)S2(=O)=O)c1	CID:54618817	phase I
BRD-K90734139	CNC[C@H]1Oc2ncc(C#Cc3cccc(OC)c3)cc2C(=O)N(C[C@H]1C)[C@@H](C)CO	CID:54618818	phase I
BRD-K74843557	COc1ccc(NC(=O)N(C)C[C@@H]2Oc3cc(C#CCC(C)C)ccc3S(=O)(=O)N(C[C@H]2C)[C@H](C)CO)cc1	CID:54618819	phase I
BRD-K84522516	C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)Nc2ccccc2)Oc3ncc(cc3C1=O)c4cccnc4	CID:54618820	phase I
BRD-K63947305	C/C=C/c1cnc2O[C@H](CN(C)C(=O)C3CCOCC3)[C@H](C)CN([C@H](C)CO)C(=O)c2c1	CID:54618821	phase I
BRD-K53861829	CCCC#Cc1cnc2O[C@@H](CN(C)S(=O)(=O)c3cccc(OC)c3)[C@@H](C)CN([C@H](C)CO)C(=O)c2c1	CID:54618822	phase I
BRD-K21980308	C/C=C/c1cnc2O[C@H](CN(C)C(=O)C3CCOCC3)[C@@H](C)CN([C@@H](C)CO)C(=O)c2c1	CID:54618823	phase I
BRD-K69892607	C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)CC2CCCC2)Oc3ncc(C#Cc4ccccn4)cc3C1=O	CID:54618824	phase I
BRD-K30316035	COc1ccc(C#Cc2cnc3O[C@@H](CN(C)C(=O)CC4CC4)[C@@H](C)CN([C@@H](C)CO)C(=O)c3c2)cc1	CID:54618825	phase I
BRD-K91757634	COCC(=O)N(C)C[C@H]1Oc2ncc(C#CC(C)(C)O)cc2C(=O)N(C[C@H]1C)[C@H](C)CO	CID:54618826	phase I
BRD-K14212121	C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2ccccc2)Oc3ncc(cc3C1=O)c4cccnc4	CID:54618827	phase I
BRD-K71329594	C[C@@H](O)C#Cc1ccc2c(O[C@H](CN(C)Cc3ccc(cc3)c4ccccc4)[C@@H](C)CN([C@H](C)CO)S2(=O)=O)c1	CID:54618828	phase I
BRD-K54676281	COc1ccc(NC(=O)N(C)C[C@H]2Oc3cc(C#CCC(C)C)ccc3S(=O)(=O)N(C[C@H]2C)[C@@H](C)CO)cc1	CID:54618829	phase I
BRD-K88849270	C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)c2cnccn2)Oc3ncc(C#CCN(C)C)cc3C1=O	CID:54618830	phase I
BRD-K74885091	C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2ccc3OCOc3c2)Oc4cc(C#Cc5ccncc5)ccc4S1(=O)=O	CID:54618831	phase I
BRD-K18229142	COCC#Cc1ccc2c(O[C@H](CN(C)C(=O)c3ccccc3F)[C@@H](C)CN([C@H](C)CO)S2(=O)=O)c1	CID:54618832	phase I
BRD-K47728674	COCC#Cc1cnc2O[C@@H](CN(C)S(=O)(=O)C)[C@@H](C)CN([C@H](C)CO)C(=O)c2c1	CID:54618833	phase I
BRD-K47647527	C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)c2cnccn2)Oc3ncc(C#CCN(C)C)cc3C1=O	CID:54618834	phase I
BRD-K87387784	COCC(=O)N(C)C[C@H]1Oc2ncc(C#CC(C)(C)O)cc2C(=O)N(C[C@H]1C)[C@@H](C)CO	CID:54618835	phase I
BRD-K14850613	COc1ccc(NC(=O)N(C)C[C@@H]2Oc3cc(C#CCC(C)C)ccc3S(=O)(=O)N(C[C@H]2C)[C@@H](C)CO)cc1	CID:54618836	phase I
BRD-K35231228	CC(C)C#Cc1cnc2O[C@@H](CN(C)C(=O)c3cccnc3)[C@@H](C)CN([C@@H](C)CO)C(=O)c2c1	CID:54618837	phase I
BRD-K99732047	C[C@H](O)C#Cc1ccc2c(O[C@@H](CN(C)Cc3ccc(cc3)c4ccccc4)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O)c1	CID:54618838	phase I
BRD-K76321890	COc1ccccc1c2ccc3c(O[C@H](CN(C)S(=O)(=O)c4ccc(F)cc4)[C@H](C)CN([C@@H](C)CO)S3(=O)=O)c2	CID:54618839	phase I
BRD-K94766884	C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccncc2)Oc3cc(C#CCN(C)C)ccc3S1(=O)=O	CID:54618840	phase I
BRD-K44589075	COc1ccc(NC(=O)N(C)C[C@@H]2Oc3cc(C#CCC(C)C)ccc3S(=O)(=O)N(C[C@@H]2C)[C@H](C)CO)cc1	CID:54618841	phase I
BRD-K43419088	C/C=C/c1ccc2c(O[C@@H](CN(C)C(=O)Nc3cccc(F)c3)[C@@H](C)CN([C@H](C)CO)S2(=O)=O)c1	CID:54618842	phase I
BRD-K07426711	COCC#Cc1ccc2c(O[C@H](CN(C)C(=O)c3ccccc3F)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O)c1	CID:54618843	phase I
BRD-K66211423	C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)c2cnccn2)Oc3ncc(C#CCN(C)C)cc3C1=O	CID:54618844	phase I
BRD-K66698705	C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)Nc2ccc3OCOc3c2)Oc4cc(C#Cc5ccncc5)ccc4S1(=O)=O	CID:54618845	phase I
BRD-K86693846	CCCC#Cc1cnc2O[C@H](CN(C)Cc3ccccc3F)[C@@H](C)CN([C@@H](C)CO)C(=O)c2c1	CID:54618846	phase I
BRD-K24124456	C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)Cc2ccncc2)Oc3cc(ccc3S1(=O)=O)C4=CCCCC4	CID:54618847	phase I
BRD-K52373514	CCCC#Cc1cnc2O[C@@H](CN(C)S(=O)(=O)c3cccc(OC)c3)[C@H](C)CN([C@@H](C)CO)C(=O)c2c1	CID:54618848	phase I
BRD-K04260462	CNC[C@H]1Oc2cc(C#CC3(O)CCCC3)ccc2S(=O)(=O)N(C[C@@H]1C)[C@H](C)CO	CID:54618849	phase I
BRD-K06449093	C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)c2cnccn2)Oc3ncc(C#CCN(C)C)cc3C1=O	CID:54618850	phase I
BRD-K44752001	C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)S(=O)(=O)c2cn(C)cn2)Oc3cc(ccc3S1(=O)=O)C4=CCCCC4	CID:54618851	phase I
BRD-K64831080	C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2cccc(c2)C(=O)O)Oc3cc(ccc3S1(=O)=O)C4=CCCCC4	CID:54618852	phase I
BRD-K54543443	C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)CN2CCOCC2)Oc3cc(/C=C/c4ccccc4)ccc3S1(=O)=O	CID:54618853	phase I
BRD-K54347561	COCC#Cc1ccc2c(O[C@H](CN(C)Cc3ccccn3)[C@@H](C)CN([C@H](C)CO)S2(=O)=O)c1	CID:54618854	phase I
BRD-K54857308	C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)S(=O)(=O)c2ccc(C)cc2)Oc3cc(C#Cc4ccncc4)ccc3S1(=O)=O	CID:54618855	phase I
BRD-K05463922	C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)c2cccnc2)Oc3cc(C#CC4(O)CCCC4)ccc3S1(=O)=O	CID:54618856	phase I
BRD-K45850369	CCCNC(=O)N(C)C[C@H]1Oc2cc(C#CC(C)(C)O)ccc2S(=O)(=O)N(C[C@H]1C)[C@H](C)CO	CID:54618857	phase I
BRD-K65611481	COCC#Cc1ccc2c(O[C@@H](CN(C)C(=O)c3ccccc3F)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O)c1	CID:54618858	phase I
BRD-K76996839	C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)c2cccnc2)Oc3cc(C#CC4(O)CCCC4)ccc3S1(=O)=O	CID:54618859	phase I
BRD-K87276639	COCC#Cc1ccc2c(O[C@@H](CN(C)C(=O)c3ccccc3F)[C@@H](C)CN([C@H](C)CO)S2(=O)=O)c1	CID:54618860	phase I
BRD-K02341409	C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)S(=O)(=O)c2ccc(C)cc2)Oc3cc(C#Cc4ccncc4)ccc3S1(=O)=O	CID:54618861	phase I
BRD-K55482336	CCCC#Cc1cnc2O[C@H](CN(C)Cc3ccccc3F)[C@@H](C)CN([C@H](C)CO)C(=O)c2c1	CID:54618862	phase I
BRD-K73911580	C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)C)Oc2cc(C#Cc3ccc(F)cc3)ccc2S1(=O)=O	CID:54618863	phase I
BRD-K18710049	C[C@H](O)C#Cc1ccc2c(O[C@H](CN(C)Cc3ccc(cc3)c4ccccc4)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O)c1	CID:54618864	phase I
BRD-K48954843	C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)S(=O)(=O)c2cn(C)cn2)Oc3cc(ccc3S1(=O)=O)C4=CCCCC4	CID:54618865	phase I
BRD-K13898895	CC(C)C#Cc1ccc2c(O[C@H](CN(C)C(=O)c3ccncc3)[C@@H](C)CN([C@H](C)CO)S2(=O)=O)c1	CID:54618866	phase I
BRD-K28922292	C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)CC2CCCC2)Oc3ncc(C#Cc4ccccn4)cc3C1=O	CID:54618867	phase I
BRD-K40487298	C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)CN2CCOCC2)Oc3cc(/C=C/c4ccccc4)ccc3S1(=O)=O	CID:54618868	phase I
BRD-K79240958	CCCC#Cc1cnc2O[C@H](CN(C)Cc3ccccc3F)[C@H](C)CN([C@@H](C)CO)C(=O)c2c1	CID:54618869	phase I
BRD-K47277477	C/C=C/c1ccc2c(O[C@@H](CN(C)C(=O)Nc3cccc(F)c3)[C@H](C)CN([C@@H](C)CO)S2(=O)=O)c1	CID:54618870	phase I
BRD-K04261044	COc1ccc(cc1)S(=O)(=O)N(C)C[C@@H]2Oc3ncc(C#CC4(O)CCCC4)cc3C(=O)N(C[C@@H]2C)[C@@H](C)CO	CID:54618871	phase I
BRD-K64147637	COCC#Cc1ccc2c(O[C@H](CN(C)Cc3ccccn3)[C@H](C)CN([C@@H](C)CO)S2(=O)=O)c1	CID:54618872	phase I
BRD-K18754288	COc1ccc(cc1)S(=O)(=O)N(C)C[C@H]2Oc3ncc(C#CC4(O)CCCC4)cc3C(=O)N(C[C@H]2C)[C@@H](C)CO	CID:54618873	phase I
BRD-K78556523	C/C=C/c1ccc2c(O[C@H](CN(C)C(=O)Nc3cccc(F)c3)[C@@H](C)CN([C@H](C)CO)S2(=O)=O)c1	CID:54618874	phase I
BRD-K94267488	CCCC#Cc1cnc2O[C@@H](CN(C)S(=O)(=O)c3cccc(OC)c3)[C@@H](C)CN([C@@H](C)CO)C(=O)c2c1	CID:54618875	phase I
BRD-K51757031	C[C@H](O)C#Cc1ccc2c(O[C@H](CN(C)Cc3ccc(cc3)c4ccccc4)[C@H](C)CN([C@@H](C)CO)S2(=O)=O)c1	CID:54618876	phase I
BRD-K73928524	C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)C2CCOCC2)Oc3ncc(cc3C1=O)c4cccc(C#N)c4	CID:54618877	phase I
BRD-K67891857	C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)C)Oc2cc(C#Cc3ccc(F)cc3)ccc2S1(=O)=O	CID:54618878	phase I
BRD-K37959950	C/C=C/c1cnc2O[C@H](CN(C)C(=O)C3CCOCC3)[C@@H](C)CN([C@H](C)CO)C(=O)c2c1	CID:54618879	phase I
BRD-K63448182	COc1ccccc1c2ccc3c(O[C@H](CN(C)S(=O)(=O)c4ccc(F)cc4)[C@@H](C)CN([C@@H](C)CO)S3(=O)=O)c2	CID:54618880	phase I
BRD-K51031805	C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccncc2)Oc3cc(C#CCN(C)C)ccc3S1(=O)=O	CID:54618881	phase I
BRD-K69142462	C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccccc2)Oc3cc(/C=C/c4ccccc4)ccc3S1(=O)=O	CID:54618882	phase I
BRD-K41761879	C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)S(=O)(=O)c2cn(C)cn2)Oc3cc(ccc3S1(=O)=O)C4=CCCCC4	CID:54618883	phase I
BRD-K92741883	COCC(=O)N(C)C[C@@H]1Oc2ncc(C#CC(C)(C)O)cc2C(=O)N(C[C@@H]1C)[C@@H](C)CO	CID:54618884	phase I
BRD-K07852185	CC(C)C#Cc1ccc2c(O[C@@H](CN(C)C(=O)c3ccncc3)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O)c1	CID:54618885	phase I
BRD-K86482074	C/C=C/c1cnc2O[C@@H](CN(C)C(=O)C3CCOCC3)[C@@H](C)CN([C@H](C)CO)C(=O)c2c1	CID:54618886	phase I
BRD-K56274797	C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)Cc2ccncc2)Oc3cc(ccc3S1(=O)=O)C4=CCCCC4	CID:54618887	phase I
BRD-K81464255	C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)C2CCOCC2)Oc3ncc(cc3C1=O)c4cccc(C#N)c4	CID:54618888	phase I
BRD-K36045097	C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccncc2)Oc3cc(C#CCN(C)C)ccc3S1(=O)=O	CID:54618889	phase I
BRD-K91019833	COc1ccccc1NC(=O)N(C)C[C@@H]2Oc3ncc(C#CC(C)C)cc3C(=O)N(C[C@H]2C)[C@H](C)CO	CID:54618890	phase I
BRD-K38814572	COc1ccccc1c2ccc3c(O[C@@H](CN(C)S(=O)(=O)c4ccc(F)cc4)[C@H](C)CN([C@H](C)CO)S3(=O)=O)c2	CID:54618891	phase I
BRD-K94346523	COc1ccc(cc1)S(=O)(=O)N(C)C[C@@H]2Oc3ncc(C#CC4(O)CCCC4)cc3C(=O)N(C[C@@H]2C)[C@H](C)CO	CID:54618892	phase I
BRD-K45794109	CC(C)C#Cc1ccc2c(O[C@@H](CN(C)C(=O)c3ccncc3)[C@H](C)CN([C@H](C)CO)S2(=O)=O)c1	CID:54618893	phase I
BRD-K07315344	CCCC#Cc1cnc2O[C@H](CN(C)S(=O)(=O)c3cccc(OC)c3)[C@H](C)CN([C@@H](C)CO)C(=O)c2c1	CID:54618894	phase I
BRD-K89074352	C[C@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2cccnc2)Oc3cc(ccc3S1(=O)=O)c4ccccc4F	CID:54618895	phase I
BRD-K90108396	CC(C)C#Cc1cnc2O[C@@H](CN(C)C(=O)c3cccnc3)[C@H](C)CN([C@@H](C)CO)C(=O)c2c1	CID:54618896	phase I
BRD-K05363386	CNC[C@H]1Oc2ncc(cc2C(=O)N(C[C@H]1C)[C@@H](C)CO)C3=CCCCC3	CID:54618897	phase I
BRD-K15513663	CCCC#Cc1cnc2O[C@H](CN(C)S(=O)(=O)c3cccc(OC)c3)[C@H](C)CN([C@H](C)CO)C(=O)c2c1	CID:54618898	phase I
BRD-K36801517	C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)c2cnccn2)Oc3ncc(C#CCN(C)C)cc3C1=O	CID:54618899	phase I
BRD-K51169491	C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)C2CCC2)Oc3cc(ccc3S1(=O)=O)c4ccc(cc4)C(=O)N(C)C	CID:54618900	phase I
BRD-K27503016	C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccncc2)Oc3cc(C#CCN(C)C)ccc3S1(=O)=O	CID:54618901	phase I
BRD-K23378122	C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)Nc2ccc3OCOc3c2)Oc4cc(C#Cc5ccncc5)ccc4S1(=O)=O	CID:54618902	phase I
BRD-K56562216	C[C@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccncc2)Oc3cc(C#CCN(C)C)ccc3S1(=O)=O	CID:54618903	phase I
BRD-K93569047	C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)CC2CC2)Oc3cc(ccc3S1(=O)=O)c4cccc(C#N)c4	CID:54618904	phase I
BRD-K00133896	C[C@H](CO)N1C[C@H](C)[C@H](CN(C)CC2CC2)Oc3cc(ccc3S1(=O)=O)c4cccc(C#N)c4	CID:54618905	phase I
BRD-K68216590	C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)Nc2ccc3OCOc3c2)Oc4cc(C#Cc5ccncc5)ccc4S1(=O)=O	CID:54618906	phase I
BRD-K81291261	C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2cccnc2)Oc3cc(ccc3S1(=O)=O)c4ccccc4F	CID:54618907	phase I
BRD-K10771753	C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccccc2)Oc3cc(/C=C/c4ccccc4)ccc3S1(=O)=O	CID:54618908	phase I
BRD-K55504273	C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Cc2ccncc2)Oc3cc(ccc3S1(=O)=O)C4=CCCCC4	CID:54618909	phase I
BRD-K06361641	C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)Cc2ccncc2)Oc3cc(ccc3S1(=O)=O)C4=CCCCC4	CID:54618910	phase I
BRD-K49258369	COc1ccccc1c2ccc3c(O[C@@H](CN(C)S(=O)(=O)c4ccc(F)cc4)[C@@H](C)CN([C@H](C)CO)S3(=O)=O)c2	CID:54618911	phase I
BRD-K92014291	C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)S(=O)(=O)c2ccc(C)cc2)Oc3cc(C#Cc4ccncc4)ccc3S1(=O)=O	CID:54618912	phase I
BRD-K32816753	C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2cccc(c2)C(=O)O)Oc3cc(ccc3S1(=O)=O)C4=CCCCC4	CID:54618913	phase I
BRD-K99808647	C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)C)Oc2cc(C#Cc3ccc(F)cc3)ccc2S1(=O)=O	CID:54618914	phase I
BRD-K55657259	COCC#Cc1ccc2c(O[C@H](CN(C)Cc3ccccn3)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O)c1	CID:54618915	phase I
BRD-K72999223	C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)c2cnccn2)Oc3ncc(C#CCN(C)C)cc3C1=O	CID:54618916	phase I
BRD-K31825071	COCC#Cc1ccc2c(O[C@H](CN(C)Cc3ccccn3)[C@H](C)CN([C@H](C)CO)S2(=O)=O)c1	CID:54618917	phase I
BRD-K65598823	CC(C)C#Cc1cnc2O[C@H](CN(C)C(=O)c3cccnc3)[C@@H](C)CN([C@H](C)CO)C(=O)c2c1	CID:54618918	phase I
BRD-K28714324	C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)S(=O)(=O)c2ccc(C)cc2)Oc3cc(C#Cc4ccncc4)ccc3S1(=O)=O	CID:54618919	phase I
BRD-K31310964	C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)C2CCOCC2)Oc3ncc(cc3C1=O)c4cccc(C#N)c4	CID:54618920	phase I
BRD-K01060955	C/C=C/c1ccc2c(O[C@H](CN(C)C(=O)Nc3cccc(F)c3)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O)c1	CID:54618921	phase I
BRD-K05295391	C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)c2cnccn2)Oc3ncc(C#CCN(C)C)cc3C1=O	CID:54618922	phase I
BRD-K02806746	C/C=C/c1ccc2c(O[C@H](CN(C)C(=O)Nc3cccc(F)c3)[C@H](C)CN([C@@H](C)CO)S2(=O)=O)c1	CID:54618923	phase I
BRD-K18071543	COc1ccccc1NC(=O)N(C)C[C@H]2Oc3ncc(C#CC(C)C)cc3C(=O)N(C[C@@H]2C)[C@H](C)CO	CID:54618924	phase I
BRD-K60732356	C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)Cc2ccncc2)Oc3cc(ccc3S1(=O)=O)C4=CCCCC4	CID:54618925	phase I
BRD-K18532833	COc1ccccc1NC(=O)N(C)C[C@@H]2Oc3ncc(C#CC(C)C)cc3C(=O)N(C[C@@H]2C)[C@@H](C)CO	CID:54618926	phase I
BRD-K77805051	C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)S(=O)(=O)c2cn(C)cn2)Oc3cc(ccc3S1(=O)=O)C4=CCCCC4	CID:54618927	phase I
BRD-K49739160	CNC[C@@H]1Oc2ncc(C#Cc3cccc(OC)c3)cc2C(=O)N(C[C@@H]1C)[C@H](C)CO	CID:54618928	phase I
BRD-K52465094	CNC[C@@H]1Oc2cc(C#CC3(O)CCCC3)ccc2S(=O)(=O)N(C[C@H]1C)[C@@H](C)CO	CID:54618929	phase I
BRD-K60069548	CNC[C@@H]1Oc2ncc(/C=C/c3ccccc3)cc2C(=O)N(C[C@@H]1C)[C@@H](C)CO	CID:54618930	phase I
BRD-K11231529	COc1ccc(NC(=O)N(C)C[C@H]2Oc3cc(C#CCC(C)C)ccc3S(=O)(=O)N(C[C@H]2C)[C@H](C)CO)cc1	CID:54618931	phase I
BRD-K23491633	CC(C)C#Cc1cnc2O[C@@H](CN(C)C(=O)c3cccnc3)[C@@H](C)CN([C@H](C)CO)C(=O)c2c1	CID:54618932	phase I
BRD-K94534355	C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)S(=O)(=O)c2ccc(C)cc2)Oc3cc(C#Cc4ccncc4)ccc3S1(=O)=O	CID:54618933	phase I
BRD-K51004501	C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)CC2CC2)Oc3cc(ccc3S1(=O)=O)c4cccc(C#N)c4	CID:54618934	phase I
BRD-K66457675	C[C@H](CO)N1C[C@H](C)[C@H](CN(C)S(=O)(=O)c2ccc(F)cc2)Oc3ncc(cc3C1=O)c4ccncc4	CID:54618935	phase I
BRD-K95096346	C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccccc2)Oc3cc(/C=C/c4ccccc4)ccc3S1(=O)=O	CID:54618936	phase I
BRD-K15761174	C[C@H](CO)N1C[C@H](C)[C@H](CN(C)CC2CCCC2)Oc3ncc(C#Cc4ccccn4)cc3C1=O	CID:54618937	phase I
BRD-K17157581	C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)S(=O)(=O)c2cn(C)cn2)Oc3cc(ccc3S1(=O)=O)C4=CCCCC4	CID:54618938	phase I
BRD-K57218871	C/C=C/c1cnc2O[C@@H](CN(C)C(=O)C3CCOCC3)[C@@H](C)CN([C@@H](C)CO)C(=O)c2c1	CID:54618939	phase I
BRD-K50282595	C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)Nc2ccc3OCOc3c2)Oc4cc(C#Cc5ccncc5)ccc4S1(=O)=O	CID:54618940	phase I
BRD-K54049773	CC(C)C#Cc1cnc2O[C@@H](CN(C)Cc3cncnc3)[C@@H](C)CN([C@H](C)CO)C(=O)c2c1	CID:54618941	phase I
BRD-K21509488	C[C@H](O)C#Cc1ccc2c(O[C@H](CN(C)Cc3ccc(cc3)c4ccccc4)[C@@H](C)CN([C@H](C)CO)S2(=O)=O)c1	CID:54618942	phase I
BRD-K47371343	CCCC#Cc1cnc2O[C@@H](CN(C)Cc3ccccc3F)[C@@H](C)CN([C@H](C)CO)C(=O)c2c1	CID:54618943	phase I
BRD-K30174465	C/C=C/c1cnc2O[C@@H](CN(C)C(=O)C3CCOCC3)[C@H](C)CN([C@H](C)CO)C(=O)c2c1	CID:54618944	phase I
BRD-K95852551	CC(C)C#Cc1cnc2O[C@@H](CN(C)Cc3cncnc3)[C@@H](C)CN([C@@H](C)CO)C(=O)c2c1	CID:54618945	phase I
BRD-K42359528	C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)S(=O)(=O)c2ccc(F)cc2)Oc3ncc(cc3C1=O)c4ccncc4	CID:54618946	phase I
BRD-K66975912	COc1ccc(C#Cc2cnc3O[C@H](CN(C)C(=O)CC4CC4)[C@H](C)CN([C@H](C)CO)C(=O)c3c2)cc1	CID:54618947	phase I
BRD-K76893224	C/C=C/c1cnc2O[C@H](CN(C)C(=O)C3CCOCC3)[C@H](C)CN([C@@H](C)CO)C(=O)c2c1	CID:54618948	phase I
BRD-K01204681	C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)C2CCOCC2)Oc3ncc(cc3C1=O)c4cccc(C#N)c4	CID:54618949	phase I
BRD-K27957164	COCC#Cc1ccc2c(O[C@@H](CN(C)Cc3ccccn3)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O)c1	CID:54618950	phase I
BRD-K30478013	CC(C)C#Cc1cnc2O[C@H](CN(C)C(=O)c3cccnc3)[C@H](C)CN([C@@H](C)CO)C(=O)c2c1	CID:54618951	phase I
BRD-K04284624	C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)C2CCC2)Oc3cc(ccc3S1(=O)=O)c4ccc(cc4)C(=O)N(C)C	CID:54618952	phase I
BRD-K94974633	C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)CC2CCCC2)Oc3ncc(C#Cc4ccccn4)cc3C1=O	CID:54618953	phase I
BRD-K14518066	C/C=C/c1ccc2c(O[C@@H](CN(C)C(=O)Nc3cccc(F)c3)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O)c1	CID:54618954	phase I
BRD-K54735832	CNC[C@@H]1Oc2ncc(/C=C/c3ccccc3)cc2C(=O)N(C[C@H]1C)[C@H](C)CO	CID:54618955	phase I
BRD-K94597513	C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2cccnc2)Oc3cc(ccc3S1(=O)=O)c4ccccc4F	CID:54618956	phase I
BRD-K35380368	COc1ccccc1NC(=O)N(C)C[C@H]2Oc3ncc(C#CC(C)C)cc3C(=O)N(C[C@H]2C)[C@H](C)CO	CID:54618957	phase I
