brd	smi	cid	dataset
BRD-K15531302	Fc1ccc(cc1)-c1ccc(cc1)[C@H]1[C@@H]2CNC[C@H]1N2S(=O)(=O)c1ccccc1	CID:60185126	phase I
BRD-K15600710	COC1=CC(=N\C\1=C/c1[nH]c(C)cc1C)c1cc2ccccc2[nH]1	CID:66751253	phase I
BRD-K16149111	C\C=C\c1ccc(cc1)[C@@H]1[C@H]2CN(C[C@@H]1N2)C(=O)NC1CCCCC1	CID:60185027	phase I
BRD-K16274875	O=C(C1CC1)N1C[C@H]2N[C@@H](C1)[C@@H]2c1ccc(cc1)-c1cncnc1	CID:60185283	phase I
BRD-K16329066	Fc1ccccc1-c1ccc(cc1)[C@H]1[C@H]2CN(Cc3ccccn3)C[C@@H]1N2	CID:60185130	phase I
BRD-K16425675	COc1ccccc1NC(=O)N1C[C@H]2N[C@@H](C1)[C@@H]2c1ccc(\C=C\c2ccccc2)cc1	CID:60185248	phase I
BRD-K16798053	O=C/1NC(=S)N(C(=O)\C1=C\c2c[nH]c3ccccc23)c4cccc5ccccc45	CID:1104457	phase I
BRD-K16971439	CS(=O)(=O)N1C[C@H]2N[C@@H](C1)[C@H]2c1ccc(cc1)-c1ccccc1	CID:60185024	phase I
BRD-K17070436	COc1ccccc1CN1[C@H]2CNC[C@@H]1[C@@H]2c1ccc(\C=C\c2ccccc2)cc1	CID:60185168	phase I
BRD-K17203693	Fc1cccc(F)c1S(=O)(=O)N[C@H]2CC[C@H](CNS(=O)(=O)c3ccc4OCCOc4c3)CC2	CID:44142072	phase I
BRD-K17349619	CN(C)CCCNc1c2ccccc2n(C)c2nc(=O)n(C)c(=O)c12	CID:135403620	phase I
BRD-K18359792	Fc1ccccc1S(=O)(=O)N1C[C@@H]2N[C@H](C1)[C@@H]2c1ccc(cc1)-c1cncnc1	CID:60185002	phase I
BRD-K18433151	C(N1C[C@H]2N[C@@H](C1)[C@@H]2c1ccc(\C=C\c2ccccc2)cc1)c1cocn1	CID:60184831	phase I
BRD-K18598482	Fc1cccc(c1)-c1ccc(cc1)[C@H]1[C@H]2CN(C[C@@H]1N2)C(=O)C1CC1	CID:60185081	phase I
BRD-K18772134	C\C=C\c1ccc(cc1)[C@@H]1[C@@H]2CNC[C@H]1N2Cc1ccccc1C(F)(F)F	CID:71759505	phase I
BRD-K19112099	CN(C)C(=O)c1cccc(c1)-c1ccc(cc1)[C@@H]1[C@H]2CN(C[C@@H]1N2)S(=O)(=O)c1ccccc1F	CID:60188251	phase I
BRD-K19873942	CN(C)C(=O)c1cccc(c1)-c1ccc(cc1)[C@H]1[C@H]2CN(Cc3nccs3)C[C@@H]1N2	CID:60185005	phase I
BRD-K20351658	Fc1ccc(cc1)-c1ccc(cc1)[C@H]1[C@H]2CN(C[C@@H]1N2)C(=O)NC1CCCCC1	CID:60185157	phase I
BRD-K20585111	COc1ccc(cc1)-c1ccc(cc1)[C@@H]1[C@@H]2CNC[C@H]1N2C(=O)Nc1ccc(F)cc1	CID:60185030	phase I
BRD-K20898254	C\C=C\c1ccc(cc1)[C@@H]1[C@H]2CN(C[C@@H]1N2)C(=O)Nc1ccc(cc1)C(F)(F)F	CID:60184862	phase I
BRD-K21154786	CN(C)C(=O)c1ccc(cc1)-c1ccc(cc1)[C@H]1[C@H]2CN(C[C@@H]1N2)S(=O)(=O)c1ccccc1F	CID:60184961	phase I
BRD-K21501851	CCCNC(=O)N1C[C@H]2N[C@@H](C1)[C@@H]2c1ccc(cc1)-c1cccc(F)c1	CID:60184827	phase I
BRD-K21569926	C(N1C[C@H]2N[C@@H](C1)[C@@H]2c1ccc(cc1)-c1cncnc1)c1ccc2OCOc2c1	CID:60185455	phase I
BRD-K22330909	COc1cccc(c1)-c1ccc(cc1)[C@@H]1[C@H]2CN(Cc3ccccn3)C[C@@H]1N2	CID:60185012	phase I
BRD-K22649335	COc1cccc(c1)-c1ccc(cc1)[C@@H]1[C@@H]2CNC[C@H]1N2C(=O)Nc1ccc2OCOc2c1	CID:60184957	phase I
BRD-K22901619	CC[C@]12CC[C@H]3[C@@H](CCC4=CC(CC[C@H]34)=NO)[C@H]1CC[C@@]2(OC(C)=O)C#C	CID:73707471	phase I
BRD-K23172979	Fc1cccc(c1)-c1ccc(cc1)[C@H]1[C@@H]2CNC[C@H]1N2Cc1cncnc1	CID:60182620	phase I
BRD-K24049756	CN(C)CC(=O)N1C[C@H]2N[C@@H](C1)[C@@H]2c1ccc(cc1)-c1ccccc1F	CID:60184910	phase I
BRD-K25082699	Fc1ccccc1-c1ccc(cc1)[C@H]1[C@H]2CN(C[C@@H]1N2)C(=O)c1ccc2OCOc2c1	CID:60185128	phase I
BRD-K25089649	O=C(Cc1ccccc1)N1C[C@H]2N[C@@H](C1)[C@@H]2c1ccc(cc1)-c1ccc(cc1)C#N	CID:60184997	phase I
BRD-K25161260	CN(C)CC(=O)N1C[C@H]2N[C@@H](C1)[C@H]2c1ccc(cc1)-c1cccc(C)c1	CID:60185109	phase I
BRD-K25228014	CN(C)C(=O)c1cccc(c1)-c1ccc(cc1)[C@@H]1[C@@H]2CNC[C@H]1N2S(=O)(=O)Cc1ccccc1	CID:60184832	phase I
BRD-K25380480	Fc1ccc(cc1)S(=O)(=O)N1C[C@H]2N[C@@H](C1)[C@@H]2c1ccc(\C=C\c2ccccc2)cc1	CID:60184850	phase I
BRD-K25510697	COc1cccc(c1)-c1ccc(cc1)[C@H]1[C@H]2CN(C[C@@H]1N2)S(=O)(=O)c1cn(C)cn1	CID:60185082	phase I
BRD-K25682970	CN(C)C(=O)c1cccc(c1)-c1ccc(cc1)[C@@H]1[C@@H]2CNC[C@H]1N2S(=O)(=O)c1ccccc1F	CID:60185272	phase I
BRD-K27304876	Fc1cccc(c1)-c1ccc(cc1)[C@@H]1[C@@H]2CNC[C@H]1N2S(=O)(=O)c1ccc(Cl)cc1	CID:60185175	phase I
BRD-K27530838	CN(C)C(=O)c1cccc(c1)-c1ccc(cc1)[C@@H]1[C@H]2CN(C[C@@H]1N2)C(=O)c1cnccn1	CID:60184855	phase I
BRD-K27638907	COc1ccccc1CN1C[C@H]2N[C@@H](C1)[C@@H]2c1ccc(cc1)-c1ccc(cc1)C#N	CID:60188256	phase I
BRD-K27760381	COc1cc(CN2[C@H]3CNC[C@@H]2[C@@H]3c2ccc(cc2)-c2ccc(C)cc2)cc(OC)c1	CID:60185010	phase I
BRD-K28029915	O=C(O[C@H]1C[C@H]2C[C@H]3C[C@@H](C1)N2CC3=O)c1c[nH]c2ccccc12	CID:3033818	phase I
BRD-K28162668	Cc1cccc(c1)-c1ccc(cc1)[C@@H]1[C@H]2CN(C[C@@H]1N2)C(=O)c1ccncc1	CID:60185149	phase I
BRD-K28563387	Fc1ccc(NC(=O)N2C[C@H]3N[C@@H](C2)[C@H]3c2ccc(\C=C\c3ccccc3)cc2)cc1	CID:60185171	phase I
BRD-K28667196	COc1cc(ccc1O)C(=O)O[C@@H]2C[C@@H]3CC[C@H](C2)N3C	CID:933171	phase I
BRD-K29733039	CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C/C=C(C)/[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1OP(C)(C)=O	CID:74787553	phase I
BRD-K30015724	Fc1ccccc1-c1ccc(cc1)[C@@H]1[C@H]2CN(Cc3ccccc3)C[C@@H]1N2	CID:60185229	phase I
BRD-K30160673	Fc1cccc(CN2C[C@H]3N[C@@H](C2)[C@@H]3c2ccc(cc2)-c2cncnc2)c1	CID:60185457	phase I
BRD-K30415102	C\C=C\c1ccc(cc1)[C@H]1[C@@H]2CNC[C@H]1N2S(=O)(=O)c1cccc(F)c1	CID:60184838	phase I
BRD-K30958256	COc1cc(CN2C[C@H]3N[C@@H](C2)[C@H]3c2ccc(\C=C\c3ccccc3)cc2)cc(OC)c1	CID:60185096	phase I
BRD-K31274539	C\C=C\c1ccc(cc1)[C@H]1[C@H]2CN(C[C@@H]1N2)S(C)(=O)=O	CID:60185139	phase I
